"","id","adj.P.Val.XBirA.over.No_BirA","AveExpr.XBirA.over.No_BirA","Log.P.Value.XBirA.over.No_BirA","logFC.XBirA.over.No_BirA","P.Value.XBirA.over.No_BirA","t.XBirA.over.No_BirA","Proteome..126.126.127.128.129.130.131..No_BirA50.multimedian","Proteome..127.126.127.128.129.130.131..No_BirA51.multimedian","Proteome..131.126.127.128.129.130.131..No_BirA52.multimedian","Proteome..128.126.127.128.129.130.131..XBirA_48.multimedian","Proteome..129.126.127.128.129.130.131..XBirA_49.multimedian","Proteome..130.126.127.128.129.130.131..XBirA_47.multimedian","id.query","id.mapped","id.concat","id.1","geneSymbol","numColumnsProteinObserved","numSpectraProteinObserved","numPepsUnique","numPepsUniqueSubgroupSpecificCI","accession_numbers","species","protein_mw","percentCoverage","groupNum","subgroupNum","scoreUnique","scoreUniqueSubgroupSpecificCI","orfCategory","sequenceLength","entry_name","cellular_component","biological_process","molecular_function","Proteome.unique_peptides","Proteome.numSpectra","Proteome.totalIntensity","Proteome.pct_cov"
"1744","G3X928",0.000904839,-0.033333333,37.10687905,1.501,0.000194676,7.39724193,-0.9875,-1.081,-0.283,0.669,0.712,0.7705,"G3X928","Sec23ip","G3X928_Sec23ip","G3X928","Sec23ip",1,19,7,7,"G3X928|Q6NZC7","MOUSE",111388.8,10.1,1494,1494.1,81.6,81.6,NA,998,"SEC23-interacting protein","cis-Golgi network|intracellular membrane-bounded organelle|perinuclear region of cytoplasm|endoplasmic reticulum exit site|perinuclear endoplasmic reticulum|","acrosome assembly|spermatid development|single fertilization|","poly(A) RNA binding|metal ion binding|",7,19,5.88e+10,"10.1%"
"1223","P01901",1.18752e-05,-0.181,60.96721586,1.495666667,8.00347e-07,17.60358491,-0.8285,-0.867,-1.091,0.51,0.557,0.6335,"P01901","H2-K1","P01901_H2-K1","P01901","H2-K1",1,25,10,8,"P01901|Q3TH01|P04223|P04223-2|P14426|P03991|A0A0B4J1G3|P01900|P14427|P01895-2","MOUSE",41700.5,35.7,1005,1005.1,134.66,105.6,NA,369,"H-2 class I histocompatibility antigen, K-B alpha chain","endoplasmic reticulum|Golgi apparatus|Golgi medial cisterna|external side of plasma membrane|cell surface|membrane|phagocytic vesicle membrane|MHC class I protein complex|extracellular exosome|endoplasmic reticulum exit site|integral component of lumenal side of endoplasmic reticulum membrane|","positive regulation of T cell mediated cytotoxicity|antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent|immune response|antigen processing and presentation of exogenous peptide antigen via MHC class I|defense response to bacterium|inner ear development|","receptor binding|protein binding|beta-2-microglobulin binding|peptide antigen binding|T cell receptor binding|poly(A) RNA binding|TAP binding|",10,25,6.53e+09,"35.7%"
"2532","Q6T5E4",1.58103e-05,-0.185166667,58.63907485,1.493333333,1.36802e-06,16.25134416,-0.8225,-0.844,-1.129,0.592,0.556,0.5365,"Q6T5E4","Gcnt2","Q6T5E4_Gcnt2","Q6T5E4","Gcnt2",1,4,3,3,"Q6T5E4|Q7TPQ8|Q9D2A8","MOUSE",46854.9,8.2,2261,2261.1,36.86,36.86,NA,401,"Glucosaminyl (N-acetyl) transferase 2, I-branching enzyme","membrane|","protein glycosylation|transforming growth factor beta receptor signaling pathway|posttranscriptional regulation of gene expression|positive regulation of epithelial to mesenchymal transition|negative regulation of cell-substrate adhesion|positive regulation of cell migration|positive regulation of heterotypic cell-cell adhesion|maintenance of lens transparency|positive regulation of protein kinase B signaling|positive regulation of ERK1 and ERK2 cascade|","N-acetyllactosaminide beta-1,6-N-acetylglucosaminyltransferase activity|acetylglucosaminyltransferase activity|",3,4,3.9e+08,"8.2%"
"2180","P01029",9.23297e-06,-0.153833333,62.61371202,1.491333333,5.47809e-07,18.5253522,-1.0545,-0.858,-0.786,0.557,0.6,0.6185,"P01029","C4b","P01029_C4b","P01029","C4b",1,8,6,6,"P01029","MOUSE",194566.4,4.5,1910,1910.1,52.88,52.88,NA,1738,"Complement C4-B","extracellular space|","inflammatory response|complement activation, classical pathway|negative regulation of endopeptidase activity|innate immune response|","endopeptidase inhibitor activity|",6,8,6.01e+08,"4.5%"
"2624","Q80X71",0.005748474,-0.156333333,27.91909603,1.484333333,0.001614695,5.118221509,-0.4225,-1.583,-0.69,0.619,0.76,0.3785,"Q80X71","Tmem106b","Q80X71_Tmem106b","Q80X71","Tmem106b",1,5,3,3,"Q80X71","MOUSE",31457.1,15.6,2353,2353.1,33.59,33.59,NA,275,"Transmembrane protein 106B","lysosomal membrane|integral component of membrane|late endosome membrane|intracellular membrane-bounded organelle|extracellular exosome|","transport|lysosome localization|dendrite morphogenesis|","",3,5,3.19e+08,"15.6%"
"1984","Q69ZQ1",1.38496e-05,-0.182,59.56661202,1.477666667,1.10494e-06,16.79466139,-0.8105,-0.863,-1.089,0.479,0.607,0.5845,"Q69ZQ1","AI464131","Q69ZQ1_AI464131","Q69ZQ1","Myorg",1,11,7,7,"Q69ZQ1","MOUSE",81759.4,10.3,1722,1722.1,64.52,64.52,NA,716,"Myogenesis-regulating glycosidase","integral component of membrane|nuclear membrane|","carbohydrate metabolic process|positive regulation of insulin-like growth factor receptor signaling pathway|skeletal muscle fiber development|positive regulation of protein kinase B signaling|","hydrolase activity, hydrolyzing O-glycosyl compounds|protein binding|",7,11,1.7e+11,"10.3%"
"738","Q80TI0-4",2.88858e-05,-0.135166667,54.87718137,1.477333333,3.25298e-06,14.21479997,-0.7825,-0.79,-1.049,0.695,0.446,0.6695,"Q80TI0","Gramd1b","Q80TI0-4_Gramd1b","Q80TI0-4","Gramd1b",1,31,16,16,"Q80TI0-4|A0A1D5RLT6|D3YWR0|Q80TI0|A0A1L1SQ42|Q80TI0-3|Q80TI0-2","MOUSE",101825.4,25,579,579.1,213.37,213.37,NA,738,"Isoform 4 of GRAM domain-containing protein 1B","membrane|integral component of membrane|","","",16,31,1.15e+10,"25.0%"
"2515","Q64191",2.03293e-05,-0.042,56.8591421,1.475666667,2.06104e-06,15.25541988,-0.7215,-0.703,-0.915,0.641,0.587,0.8595,"Q64191","Aga","Q64191_Aga","Q64191","Aga",1,7,3,3,"Q64191|B7ZNK6","MOUSE",37534.8,8.9,2243,2243.1,37.3,37.3,NA,346,"N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase","lysosome|endoplasmic reticulum|extracellular exosome|","proteolysis|protein deglycosylation|protein maturation|","N4-(beta-N-acetylglucosaminyl)-L-asparaginase activity|peptidase activity|protein self-association|",3,7,1.81e+08,"8.9%"
"2360","P08226",0.000106052,-0.195166667,48.1177,1.473333333,1.54252e-05,11.14430739,-0.6725,-0.916,-1.207,0.514,0.502,0.6085,"P08226","Apoe","P08226_Apoe","P08226","Apoe",1,7,4,4,"P08226","MOUSE",35923,12.8,2088,2088.1,43.82,43.82,NA,311,"Apolipoprotein E","extracellular region|extracellular space|nucleus|endoplasmic reticulum|Golgi apparatus|cytosol|membrane|extracellular matrix|very-low-density lipoprotein particle|low-density lipoprotein particle|intermediate-density lipoprotein particle|high-density lipoprotein particle|chylomicron|extracellular exosome|blood microparticle|extracellular vesicle|","negative regulation of endothelial cell proliferation|response to dietary excess|lipid metabolic process|triglyceride metabolic process|cholesterol biosynthetic process|cholesterol catabolic process|cellular calcium ion homeostasis|receptor-mediated endocytosis|response to oxidative stress|G-protein coupled receptor signaling pathway|nitric oxide mediated signal transduction|cholesterol metabolic process|regulation of gene expression|negative regulation of platelet activation|positive regulation of cholesterol esterification|positive regulation of cholesterol efflux|long-chain fatty acid transport|protein import|virion assembly|triglyceride catabolic process|cGMP-mediated signaling|negative regulation of blood coagulation|regulation of axon extension|positive regulation of cGMP biosynthetic process|regulation of cholesterol transport|regulation of Cdc42 protein signal transduction|positive regulation of low-density lipoprotein particle receptor catabolic process|cholesterol efflux|phospholipid efflux|very-low-density lipoprotein particle remodeling|low-density lipoprotein particle remodeling|high-density lipoprotein particle remodeling|high-density lipoprotein particle assembly|chylomicron remnant clearance|high-density lipoprotein particle clearance|very-low-density lipoprotein particle clearance|lipoprotein metabolic process|lipoprotein biosynthetic process|lipoprotein catabolic process|vasodilation|cholesterol homeostasis|negative regulation of MAP kinase activity|negative regulation of neuron apoptotic process|negative regulation of blood vessel endothelial cell migration|reverse cholesterol transport|positive regulation by host of viral process|negative regulation of cholesterol biosynthetic process|positive regulation of lipid biosynthetic process|artery morphogenesis|negative regulation of inflammatory response|positive regulation of nitric-oxide synthase activity|positive regulation of membrane protein ectodomain proteolysis|negative regulation of lipid biosynthetic process|maintenance of location in cell|lipid homeostasis|fatty acid homeostasis|positive regulation of dendritic spine development|negative regulation of dendritic spine development|cardiovascular system development|negative regulation of cholesterol efflux|alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionate selective glutamate receptor clustering|N-methyl-D-aspartate receptor clustering|regulation of beta-amyloid clearance|regulation of neuron death|negative regulation of neuron death|positive regulation of neuron death|negative regulation of postsynaptic membrane organization|positive regulation of postsynaptic membrane organization|negative regulation of presynaptic membrane organization|positive regulation of presynaptic membrane organization|positive regulation of beta-amyloid formation|negative regulation of beta-amyloid formation|regulation of tau-protein kinase activity|negative regulation of dendritic spine maintenance|positive regulation of dendritic spine maintenance|positive regulation of phospholipid efflux|positive regulation of neurofibrillary tangle assembly|negative regulation of phospholipid efflux|negative regulation of lipid transport across blood brain barrier|positive regulation of lipid transport across blood brain barrier|protein localization|axon regeneration|","beta-amyloid binding|lipid transporter activity|protein binding|phospholipid binding|heparin binding|lipid binding|cholesterol binding|antioxidant activity|cholesterol transporter activity|identical protein binding|protein homodimerization activity|metal chelating activity|tau protein binding|low-density lipoprotein particle receptor binding|phosphatidylcholine-sterol O-acyltransferase activator activity|very-low-density lipoprotein particle receptor binding|lipoprotein particle binding|",4,7,2.09e+08,"12.8%"
"3388","Q8R418",0.000151217,-0.3005,46.26180317,1.472666667,2.36494e-05,10.41523911,-0.8935,-0.86,-1.357,0.515,0.321,0.4715,"Q8R418","NotFound","Q8R418_NotFound","Q8R418","Dicer1",1,2,2,2,"Q8R418|F8VQ54|Q8R418-2","MOUSE",219555.4,1.7,3259,3259.1,14.61,14.61,NA,1916,"Endoribonuclease Dicer","nucleus|cytoplasm|RISC complex|micro-ribonucleoprotein complex|RISC-loading complex|","negative regulation of transcription from RNA polymerase II promoter|meiotic spindle organization|angiogenesis|regulation of protein phosphorylation|hair follicle development|apoptotic DNA fragmentation|RNA processing|cell proliferation|regulation of Notch signaling pathway|post-embryonic development|zygote asymmetric cell division|regulation of gene expression|negative regulation of Schwann cell proliferation|positive regulation of gene expression|regulation of muscle cell apoptotic process|positive regulation of Schwann cell differentiation|myoblast differentiation involved in skeletal muscle regeneration|rRNA catabolic process|stem cell maintenance|spinal cord motor neuron differentiation|nerve development|olfactory bulb interneuron differentiation|cerebral cortex development|lung development|embryonic limb morphogenesis|production of siRNA involved in RNA interference|targeting of mRNA for destruction involved in RNA interference|pre-miRNA processing|hair follicle morphogenesis|regulation of myelination|positive regulation of myelination|peripheral nervous system myelin formation|conversion of ds siRNA to ss siRNA involved in RNA interference|siRNA loading onto RISC involved in RNA interference|embryonic hindlimb morphogenesis|production of miRNAs involved in gene silencing by miRNA|multicellular organism growth|miRNA loading onto RISC involved in gene silencing by miRNA|conversion of ds siRNA to ss siRNA|regulation of odontogenesis of dentin-containing tooth|regulation of viral genome replication|regulation of cell differentiation|regulation of neuron differentiation|positive regulation of transcription from RNA polymerase II promoter|mRNA stabilization|spleen development|digestive tract development|reproductive structure development|regulation of oligodendrocyte differentiation|epidermis morphogenesis|branching morphogenesis of an epithelial tube|neuron projection morphogenesis|anatomical structure development|regulation of neurogenesis|cartilage development|spindle assembly|regulation of RNA metabolic process|defense response to virus|regulation of cell cycle|cardiac muscle cell development|inner ear receptor cell development|negative regulation of glial cell proliferation|intestinal epithelial cell development|cardiac neural crest cell development involved in outflow tract morphogenesis|ganglion development|regulation of enamel mineralization|hair follicle cell proliferation|RNA phosphodiester bond hydrolysis|RNA phosphodiester bond hydrolysis, endonucleolytic|regulation of miRNA metabolic process|positive regulation of miRNA metabolic process|","double-stranded RNA binding|helicase activity|endoribonuclease activity|ribonuclease III activity|deoxyribonuclease I activity|protein binding|ATP binding|protein domain specific binding|siRNA binding|miRNA binding|metal ion binding|pre-miRNA binding|pre-miRNA binding|",2,2,5.18e+08,"1.7%"
"857","A0A0R4J0I1",0.021198387,0.3045,20.93374072,1.469333333,0.0080654,3.734496101,-0.2385,-0.195,-0.857,1.685,0.161,1.2715,"A0A0R4J0I1","Serpina3k","A0A0R4J0I1_Serpina3k","A0A0R4J0I1","Serpina3k",1,40,14,12,"A0A0R4J0I1|P07759|Q03734|P29621|F2Z405","MOUSE",46900.1,38,685,685.1,189.57,167.93,NA,418,"MCG1051009","","","",14,40,9.31e+09,"38.0%"
"2194","Q9ER39",1.92038e-05,-0.1495,57.31232738,1.468666667,1.85681e-06,15.50331857,-0.9245,-0.712,-1.015,0.492,0.586,0.6765,"Q9ER39","Tor1a","Q9ER39_Tor1a","Q9ER39","Tor1a",1,10,5,5,"Q9ER39","MOUSE",38228.6,13.2,1924,1924.1,51.81,51.81,NA,333,"Torsin-1A","nucleus|nuclear envelope|cytoplasm|endoplasmic reticulum|endoplasmic reticulum lumen|cytoskeleton|synaptic vesicle|membrane|cell junction|transport vesicle|secretory granule|growth cone|cytoplasmic vesicle membrane|nuclear membrane|extrinsic component of endoplasmic reticulum membrane|intracellular membrane-bounded organelle|extracellular exosome|","protein deneddylation|response to oxidative stress|organelle organization|nuclear envelope organization|cell adhesion|neuron projection development|protein localization to nucleus|wound healing, spreading of cells|intermediate filament cytoskeleton organization|synaptic vesicle transport|chaperone mediated protein folding requiring cofactor|protein homooligomerization|regulation of dopamine uptake involved in synaptic transmission|chaperone-mediated protein folding|ER-associated misfolded protein catabolic process|nuclear membrane organization|chaperone-mediated protein transport|positive regulation of synaptic vesicle endocytosis|regulation of protein localization to cell surface|","protein binding|ATP binding|cytoskeletal protein binding|ATPase activity|kinesin binding|unfolded protein binding|misfolded protein binding|",5,10,1.56e+10,"13.2%"
"532","Q91WG0",0.000120163,-0.086,47.43003948,1.461666667,1.80716e-05,10.86894811,-0.6895,-0.708,-1.053,0.791,0.43,0.7135,"Q91WG0","Ces2c","Q91WG0_Ces2c","Q91WG0","Ces2c",1,27,18,9,"Q91WG0","MOUSE",62753.8,38.5,402,402.2,266.28,138.17,NA,561,"Acylcarnitine hydrolase","endoplasmic reticulum|intracellular membrane-bounded organelle|","metabolic process|","acylcarnitine hydrolase activity|",9,27,3.35e+10,"21.5%"
"546","Q8BJS4",5.28726e-06,-0.152833333,67.45861962,1.460666667,1.7953e-07,21.81242853,-0.8615,-0.859,-0.929,0.501,0.55,0.6815,"Q8BJS4","Sun2","Q8BJS4_Sun2","Q8BJS4","Sun2",1,42,18,18,"Q8BJS4|Q8BJS4-2|Q8BJS4-3","MOUSE",81775.1,30.6,412,412.1,260.86,260.86,NA,731,"SUN domain-containing protein 2","nuclear chromosome, telomeric region|condensed nuclear chromosome|nuclear envelope|nuclear inner membrane|integral component of nuclear inner membrane|endosome membrane|nuclear membrane|LINC complex|","nuclear envelope organization|positive regulation of cell migration|nuclear migration along microfilament|centrosome localization|cytoskeletal anchoring at nuclear membrane|nuclear matrix anchoring at nuclear membrane|","protein binding|lamin binding|identical protein binding|",18,42,1.62e+10,"30.6%"
"2640","Q8CI85",0.000341179,-0.143666667,42.12412278,1.459,6.1318e-05,8.940875711,-0.9415,-0.541,-1.137,0.416,0.752,0.5895,"Q8CI85","Car12","Q8CI85_Car12","Q8CI85","Ca12",1,7,3,3,"Q8CI85|A0A0R4J0W4|Q8K2J1","MOUSE",39808.8,7.9,2369,2369.1,33.1,33.1,NA,354,"Carbonic anhydrase 12","integral component of membrane|","one-carbon metabolic process|regulation of pH|carbon dioxide transport|chloride ion homeostasis|","carbonate dehydratase activity|zinc ion binding|",3,7,3.68e+09,"7.9%"
"357","Q3UP75",1.92038e-05,-0.170333333,57.28275611,1.456333333,1.8695e-06,15.4870264,-0.8425,-0.756,-1.097,0.582,0.532,0.5595,"Q3UP75","Ugt3a1","Q3UP75_Ugt3a1","Q3UP75","Ugt3a1",1,38,12,9,"Q3UP75","MOUSE",59868.5,28.2,271,271.2,198.25,130.82,NA,523,"UDP-glucuronosyltransferase 3A1","integral component of membrane|intracellular membrane-bounded organelle|UDP-N-acetylglucosamine transferase complex|","flavonoid biosynthetic process|cellular response to hormone stimulus|flavonoid glucuronidation|cellular response to genistein|","UDP-glycosyltransferase activity|glucuronosyltransferase activity|",9,38,1.45e+11,"22.3%"
"1276","O54734",0.0001248,-0.1785,47.21320708,1.449333333,1.89967e-05,10.7834112,-0.8175,-0.689,-1.203,0.637,0.487,0.5145,"O54734","Ddost","O54734_Ddost","O54734","Ddost",1,34,11,11,"O54734","MOUSE",49255.2,24.9,1053,1053.1,128.05,128.05,NA,441,"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit","endoplasmic reticulum|oligosaccharyltransferase complex|membrane|integral component of membrane|intracellular membrane-bounded organelle|protein complex|","protein glycosylation|protein N-linked glycosylation|protein N-linked glycosylation via asparagine|response to cytokine|T cell activation|","oligosaccharyl transferase activity|dolichyl-diphosphooligosaccharide-protein glycotransferase activity|",11,34,2.5e+10,"24.9%"
"2304","P29416",1.3477e-05,-0.12,59.85083798,1.445666667,1.03494e-06,16.9226821,-0.6835,-0.892,-0.953,0.626,0.528,0.6545,"P29416","Hexa","P29416_Hexa","P29416","Hexa",1,6,3,3,"P29416","MOUSE",61182.5,8.1,2033,2033.1,46.24,46.24,NA,528,"Beta-hexosaminidase subunit alpha","lysosome|membrane|extracellular exosome|","skeletal system development|carbohydrate metabolic process|ganglioside catabolic process|lysosome organization|sensory perception of sound|locomotory behavior|adult walking behavior|lipid storage|sexual reproduction|glycosaminoglycan metabolic process|myelination|cell morphogenesis involved in neuron differentiation|neuromuscular process controlling posture|neuromuscular process controlling balance|SMAD protein signal transduction|","beta-N-acetylhexosaminidase activity|protein heterodimerization activity|",3,6,1.88e+08,"8.1%"
"2266","P32261",0.000295435,-0.106,42.86798126,1.443,5.16656e-05,9.191528967,-0.5955,-1.052,-0.835,0.716,0.791,0.3395,"P32261","Serpinc1","P32261_Serpinc1","P32261","Serpinc1",1,8,6,6,"P32261","MOUSE",52516.1,18.4,1995,1995.1,48,48,NA,465,"Antithrombin-III","extracellular space|extracellular exosome|blood microparticle|","response to nutrient|blood coagulation|negative regulation of endopeptidase activity|negative regulation of inflammatory response|regulation of blood coagulation, intrinsic pathway|","protease binding|serine-type endopeptidase inhibitor activity|heparin binding|",6,8,8.86e+08,"18.4%"
"746","Q8VI56",1.88905e-05,-0.141833333,57.5202945,1.44,1.76999e-06,15.6183593,-0.8135,-0.719,-1.053,0.602,0.583,0.5495,"Q8VI56","Lrp4","Q8VI56_Lrp4","Q8VI56","Lrp4",1,35,19,19,"Q8VI56|Q8VI56-2","MOUSE",217256.1,13.9,585,585.1,212.21,212.21,NA,1905,"Low-density lipoprotein receptor-related protein 4","plasma membrane|cell surface|postsynaptic density|integral component of membrane|dendrite|neuromuscular junction|neuronal cell body|synaptic membrane|flotillin complex|","kidney development|regulation of protein phosphorylation|hair follicle development|endocytosis|protein localization|dorsal/ventral pattern formation|proximal/distal pattern formation|negative regulation of Wnt signaling pathway|negative regulation of ossification|embryonic limb morphogenesis|BMP signaling pathway|odontogenesis of dentin-containing tooth|embryonic digit morphogenesis|receptor clustering|Wnt signaling pathway involved in dorsal/ventral axis specification|dendrite morphogenesis|anatomical structure development|negative regulation of axonogenesis|synapse organization|synaptic growth at neuromuscular junction|protein heterotetramerization|canonical Wnt signaling pathway|limb development|skeletal muscle acetylcholine-gated channel clustering|negative regulation of canonical Wnt signaling pathway|postsynaptic membrane assembly|presynaptic membrane assembly|positive regulation of presynaptic membrane organization|","calcium ion binding|protein binding|Wnt-protein binding|receptor tyrosine kinase binding|apolipoprotein binding|protein homodimerization activity|Wnt-activated receptor activity|scaffold protein binding|",19,35,1.86e+09,"13.9%"
"1972","P70428",3.6605e-05,-0.1875,53.62142149,1.438,4.34368e-06,13.59057341,-1.0765,-0.73,-0.913,0.619,0.577,0.3985,"P70428","Ext2","P70428_Ext2","P70428","Ext2",1,9,5,5,"P70428|V9GX32|E9Q1M5","MOUSE",82804.6,10.7,1710,1710.1,65.08,65.08,NA,718,"Exostosin-2","Golgi membrane|endoplasmic reticulum|endoplasmic reticulum membrane|Golgi apparatus|membrane|integral component of membrane|UDP-N-acetylglucosamine transferase complex|extracellular exosome|","ossification|mesoderm formation|glycosaminoglycan biosynthetic process|protein glycosylation|heparan sulfate proteoglycan biosynthetic process|heparan sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process|cell differentiation|cellular polysaccharide biosynthetic process|","acetylglucosaminyltransferase activity|glucuronosyltransferase activity|transferase activity, transferring glycosyl groups|heparan sulfate N-acetylglucosaminyltransferase activity|protein homodimerization activity|metal ion binding|protein heterodimerization activity|glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase activity|N-acetylglucosaminyl-proteoglycan 4-beta-glucuronosyltransferase activity|acetylglucosaminyltransferase activity|",5,9,1.37e+10,"10.7%"
"2151","Q8VEK0",1.9032e-05,-0.117,57.42703435,1.429666667,1.80841e-06,15.56667054,-0.8735,-0.734,-0.888,0.725,0.431,0.6375,"Q8VEK0","Tmem30a","Q8VEK0_Tmem30a","Q8VEK0","Tmem30a",1,5,4,4,"Q8VEK0|D3YVV1","MOUSE",41402.5,13.7,1882,1882.1,55.09,55.09,NA,364,"Cell cycle control protein 50A","endoplasmic reticulum|Golgi apparatus|membrane|integral component of membrane|apical plasma membrane|transport vesicle membrane|","drug transmembrane transport|positive regulation of neuron projection development|protein localization to endosome|phospholipid translocation|positive regulation of protein exit from endoplasmic reticulum|","protein binding|",4,5,2.07e+08,"13.7%"
"495","Q921X9",6.02967e-06,-0.1505,65.81356326,1.423333333,2.62207e-07,20.59778314,-0.7805,-0.857,-0.949,0.616,0.485,0.5825,"Q921X9","Pdia5","Q921X9_Pdia5","Q921X9","Pdia5",1,49,21,21,"Q921X9|Q2KIL5","MOUSE",60007.8,40.2,371,371.1,279.87,279.87,NA,517,"Protein disulfide-isomerase A5","endoplasmic reticulum lumen|","protein folding|response to endoplasmic reticulum stress|cell redox homeostasis|","protein disulfide isomerase activity|",22,49,5.09e+10,"40.2%"
"1860","O09118",7.15846e-05,-0.024166667,50.20179109,1.420666667,9.54599e-06,12.01822385,-0.6505,-0.749,-0.804,0.776,0.428,0.8545,"O09118","Ntn1","O09118_Ntn1","O09118","Ntn1",1,14,5,5,"O09118","MOUSE",70148.4,10.2,1602,1602.1,72.58,72.58,NA,604,"Netrin-1","extracellular region|basement membrane|cytoplasm|cell periphery|","neuron migration|apoptotic process|axonogenesis|axon guidance|positive regulation of cell proliferation|single organismal cell-cell adhesion|regulation of cell migration|negative regulation of axon extension|mammary gland development|anterior/posterior axon guidance|establishment of nucleus localization|inner ear morphogenesis|positive regulation of axon extension|mammary gland duct morphogenesis|","protein binding|",5,14,1.55e+09,"10.2%"
"1162","P46412",0.000132405,-0.042,46.91948365,1.420333333,2.0326e-05,10.66851333,-0.8785,-0.549,-0.829,0.716,0.437,0.8515,"P46412","Gpx3","P46412_Gpx3","P46412","Gpx3",1,44,11,11,"P46412|P21765","MOUSE",25581.2,42.4,957,957.1,141.73,141.73,NA,226,"Glutathione peroxidase 3","extracellular space|extracellular exosome|","response to oxidative stress|hydrogen peroxide catabolic process|protein homotetramerization|oxidation-reduction process|","glutathione peroxidase activity|selenium binding|",11,44,1.11e+11,"42.4%"
"2323","E9Q8I0",0.000308446,0.043333333,42.63940696,1.419666667,5.44577e-05,9.11386588,-0.6475,-0.624,-0.728,0.646,0.495,1.1185,"E9Q8I0","Cfh","E9Q8I0_Cfh","E9Q8I0","Cfh",1,9,6,5,"E9Q8I0|E9Q8H9|P06909|D6RGQ0|A0A0A6YVP8","MOUSE",145947.1,4.6,2052,2052.1,45.37,34.95,NA,1252,"Complement factor H","extracellular exosome|blood microparticle|","regulation of complement activation|","complement component C3b binding|heparin binding|heparan sulfate proteoglycan binding|",6,9,7.36e+08,"4.6%"
"1637","P50429",1.32761e-05,-0.133,60.00869726,1.419,9.97999e-07,17.00010039,-0.9065,-0.883,-0.738,0.696,0.456,0.5775,"P50429","Arsb","P50429_Arsb","P50429","Arsb",1,19,8,8,"A0A0R4J138|P50429|P50429-2","MOUSE",60216.5,17.2,1392,1392.1,91.41,91.41,NA,534,"Arylsulfatase B","lysosome|cell surface|extracellular exosome|","metabolic process|regulation of epithelial cell migration|positive regulation of neuron projection development|colon epithelial cell migration|","N-acetylgalactosamine-4-sulfatase activity|arylsulfatase activity|metal ion binding|",8,19,6.48e+09,"17.2%"
"2517","Q9CYD3",0.00021881,-0.124,44.43875895,1.411666667,3.59852e-05,9.741092533,-0.7235,-0.606,-1.16,0.483,0.634,0.6285,"Q9CYD3","Crtap","Q9CYD3_Crtap","Q9CYD3","Crtap",1,4,3,3,"Q9CYD3","MOUSE",46796,6.2,2245,2245.1,37.27,37.27,NA,400,"Cartilage-associated protein","proteinaceous extracellular matrix|extracellular space|endoplasmic reticulum|macromolecular complex|","spermatogenesis|peptidyl-proline hydroxylation to 3-hydroxy-L-proline|protein stabilization|chaperone-mediated protein folding|negative regulation of post-translational protein modification|","protein complex binding|",3,4,2.16e+08,"6.2%"
"2599","Q3U2C5",1.25894e-05,-0.182666667,60.30603517,1.411666667,9.31958e-07,17.13049297,-0.7605,-0.886,-1.019,0.552,0.576,0.4415,"Q3U2C5","Rnf149","Q3U2C5_Rnf149","Q3U2C5","Rnf149",1,4,2,2,"Q3U2C5|Q3U2C5-2","MOUSE",43179.6,6,2328,2328.1,34.3,34.3,NA,394,"E3 ubiquitin-protein ligase RNF149","membrane|integral component of membrane|extracellular exosome|","protein ubiquitination|regulation of protein stability|cellular response to drug|negative regulation of MAPK cascade|","protein binding|zinc ion binding|ligase activity|ubiquitin protein ligase activity|",2,4,8.07e+08,"6.0%"
"1732","Q3UZ09",0.0001248,-0.154666667,47.20909426,1.410333333,1.90147e-05,10.78179466,-0.6345,-0.786,-1.159,0.545,0.536,0.5705,"Q3UZ09","C1rl","Q3UZ09_C1rl","Q3UZ09","C1rl",1,12,6,6,"Q3UZ09|Q8CG16|Q8CFG9","MOUSE",54233.1,14.7,1485,1485.1,82.38,82.38,NA,482,"Complement C1r subcomponent-like protein","extracellular space|extracellular exosome|","proteolysis|complement activation, classical pathway|innate immune response|","serine-type endopeptidase activity|",6,12,9.54e+08,"14.7%"
"557","Q61838",0.004171927,0.037833333,29.56455236,1.408666667,0.001105464,5.482783711,-0.4835,-0.4,-1.116,0.912,0.281,1.0335,"Q61838","NotFound","Q61838_NotFound","Q61838","Pzp",1,38,22,22,"Q61838|F1MI18|F1MJK3","MOUSE",167218.8,17.9,421,421.1,259.02,259.02,NA,1495,"Pregnancy zone protein","extracellular region|extracellular space|","embryo implantation|negative regulation of endopeptidase activity|","serine-type endopeptidase inhibitor activity|protein complex binding|",22,38,1.4e+10,"17.9%"
