id,adj.P.Val.xBirA.Cre.over.NoBirA,AveExpr.xBirA.Cre.over.NoBirA,Log.P.Value.xBirA.Cre.over.NoBirA,logFC.xBirA.Cre.over.NoBirA,P.Value.xBirA.Cre.over.NoBirA,t.xBirA.Cre.over.NoBirA,PlexesSearchedTogether_correct..126.126.127.128.129.130.131..NoBirA_6Combo.multimedian,PlexesSearchedTogether_correct..128.126.127.128.129.130.131..NoBirA_4Combo.multimedian,PlexesSearchedTogether_correct..129.126.127.128.129.130.131..NoBirA_5Combo.multimedian,PlexesSearchedTogether_correct..127.126.127.128.129.130.131..BirA.Cre_3Combo.multimedian,PlexesSearchedTogether_correct..130.126.127.128.129.130.131..BirA.Cre_2Combo.multimedian,PlexesSearchedTogether_correct..131.126.127.128.129.130.131..BirA.Cre_1Combo.multimedian,id.query,id.mapped,id.concat,id.1,geneSymbol,numColumnsProteinObserved,numSpectraProteinObserved,numPepsUnique,numPepsUniqueSubgroupSpecificCI,accession_numbers,species,protein_mw,percentCoverage,groupNum,subgroupNum,scoreUnique,scoreUniqueSubgroupSpecificCI,orfCategory,sequenceLength,entry_name,cellular_component,biological_process,molecular_function,PlexesSearchedTogether_correct.unique_peptides,PlexesSearchedTogether_correct.numSpectra,PlexesSearchedTogether_correct.totalIntensity,PlexesSearchedTogether_correct.pct_cov
Q9JHJ8-2,0.612514063,0.1772,3.894810705,-0.244666667,0.407867339,-0.902376461,0.412,0.236,,0.255,0.059,-0.076,Q9JHJ8,Icosl,Q9JHJ8-2_Icosl,Q9JHJ8-2,Icoslg,1,4,3,3,Q9JHJ8-2|A0A1W2P6Q2|Q9JHJ8,MOUSE,39426.3,11.8,525,525.1,17.87,17.87,,322,Isoform 2 of ICOS ligand,integral component of plasma membrane|external side of plasma membrane|integral component of membrane|extracellular exosome|,signal transduction|positive regulation of activated T cell proliferation|T cell activation|isotype switching|positive regulation of interleukin-4 biosynthetic process|,receptor binding|protein binding|,3,4,153000000,11.8%
O89023,0.61589699,0.2288,3.847638687,0.357166667,0.412321643,0.893708377,0.12,-0.091,,0.892,-0.175,0.398,O89023,Tpp1,O89023_Tpp1,O89023,Tpp1,1,6,2,2,O89023,MOUSE,61797.5,3.5,526,526.1,17.8,17.8,,562,Tripeptidyl-peptidase 1,mitochondrion|lysosome|melanosome|extracellular exosome|,proteolysis|lysosome organization|nervous system development|central nervous system development|epithelial cell differentiation|peptide catabolic process|bone resorption|neuromuscular process controlling balance|,endopeptidase activity|serine-type endopeptidase activity|protein binding|peptidase activity|serine-type peptidase activity|tripeptidyl-peptidase activity|metal ion binding|,2,6,138000000,3.5%
Q3UHI0-2,0.232324458,-0.435833333,12.1848516,0.865,0.060466501,2.306465911,-0.407,-0.589,-1.609,-0.185,0.012,0.163,Q3UHI0,Ccser2,Q3UHI0-2_Ccser2,Q3UHI0-2,Ccser2,1,16,2,2,Q3UHI0-2|Q3UHI0,MOUSE,115944.3,1.9,527,527.1,17.71,17.71,,833,Isoform 2 of Serine-rich coiled-coil domain-containing protein 2,microtubule cytoskeleton|,,microtubule binding|,2,16,1.55E+12,1.9%
A0A140LIJ4,0.941165914,0.2595,0.65457317,0.073666667,0.860087593,0.183965275,-0.439,0.602,0.505,0.681,-0.208,0.416,A0A140LIJ4,NotFound,A0A140LIJ4_NotFound,A0A140LIJ4,Dnah14,1,6,3,3,A0A140LIJ4,MOUSE,521611.8,0.9,528,528.1,17.68,17.68,,4489,"Dynein, axonemal, heavy chain 14",,,,3,6,300000000,0.9%
Q9WU60,0.963890373,-0.097,0.420169996,0.078666667,0.907784996,0.120847025,0.612,0.626,-1.647,-0.109,-0.058,-0.006,Q9WU60,Atrn,Q9WU60_Atrn,Q9WU60,Atrn,1,4,2,2,Q9WU60,MOUSE,163133.2,1.4,529,529.1,17.68,17.68,,1428,Attractin,extracellular space|cytoplasm|plasma membrane|integral component of membrane|extracellular exosome|,inflammatory response|response to oxidative stress|cerebellum development|regulation of multicellular organism growth|myelination|pigmentation|,receptor activity|protein binding|carbohydrate binding|,2,4,24700000,1.4%
Q2XU92,0.064716718,-0.4826,23.10063324,1.885666667,0.004897074,4.788975618,-1.964,-1.264,,0.214,-0.096,0.697,Q2XU92,Acsbg2,Q2XU92_Acsbg2,Q2XU92,Acsbg2,1,13,2,2,Q2XU92,MOUSE,75116.7,2.5,530,530.1,17.65,17.65,,667,Long-chain-fatty-acid--CoA ligase ACSBG2,cytoplasm|mitochondrion|cytosol|membrane|,long-chain fatty acid metabolic process|fatty acid metabolic process|fatty acid beta-oxidation|multicellular organismal development|spermatogenesis|cell differentiation|,long-chain fatty acid-CoA ligase activity|ATP binding|acyl-CoA hydrolase activity|,2,13,17400000000,2.5%
P07214,0.848045337,-0.0194,1.421446057,-0.094833333,0.720867414,-0.377919546,0.01,0.065,,-0.093,-0.082,0.003,P07214,Sparc,P07214_Sparc,P07214,Sparc,1,3,2,2,A0A1L1SSH9|P07214|Q5NCU4,MOUSE,35305.2,5.2,531,531.1,17.59,17.59,,302,SPARC,proteinaceous extracellular matrix|basement membrane|extracellular space|cell surface|nuclear matrix|platelet alpha granule|platelet alpha granule membrane|,negative regulation of endothelial cell proliferation|signal transduction|heart development|response to gravity|response to lead ion|positive regulation of endothelial cell migration|negative regulation of angiogenesis|regulation of cell morphogenesis|lung development|response to lipopolysaccharide|response to L-ascorbic acid|response to cytokine|wound healing|regulation of cell proliferation|response to peptide hormone|response to ethanol|response to cadmium ion|inner ear development|response to glucocorticoid|response to cAMP|response to calcium ion|bone development|cellular response to growth factor stimulus|,calcium ion binding|collagen binding|extracellular matrix binding|,2,3,107000000,5.2%
Q99MN9,0.088879092,0.5435,21.04379961,-1.569666667,0.007863575,-3.909388643,2.025,1.359,0.601,-0.077,-0.446,-0.201,Q99MN9,Pccb,Q99MN9_Pccb,Q99MN9,Pccb,1,2,2,2,Q99MN9|E9Q1J7,MOUSE,59035.6,4.6,532,532.1,17.58,17.58,,541,"Propionyl-CoA carboxylase beta chain, mitochondrial",mitochondrion|mitochondrial matrix|,metabolic process|,propionyl-CoA carboxylase activity|ATP binding|,2,2,6580000,4.6%
P07743,0.269872202,-0.08,11.01697248,0.7875,0.079123001,2.196875252,-0.356,-0.749,,-0.073,0.693,0.085,P07743,Bpifa2,P07743_Bpifa2,P07743,Bpifa2,1,3,1,1,P07743,MOUSE,24923.6,6.8,533,533.1,17.57,17.57,,235,BPI fold-containing family A member 2,extracellular region|secretory granule|extracellular exosome|,defense response to bacterium|,lipopolysaccharide binding|,1,3,25200000,6.8%
Q9CPN9,0.902789601,0.067,0.919158909,-0.088666667,0.809252611,-0.252244351,0.599,0.284,-0.549,0.191,-0.058,-0.065,Q9CPN9,2210010C04Rik,Q9CPN9_2210010C04Rik,Q9CPN9,2210010C04Rik,1,10,1,1,Q9CPN9,MOUSE,27106.2,4.8,534,534.1,17.31,17.31,,247,RIKEN cDNA 2210010C04 gene,extracellular space|,proteolysis|,serine-type endopeptidase activity|,1,10,2050000000,4.8%
P01725,0.955428034,0.1722,0.47460142,0.062833333,0.896478458,0.136845968,0.687,-0.418,,-0.235,0.346,0.481,P01725,NotFound,P01725_NotFound,P01725,,1,6,2,2,P01725,MOUSE,11767.9,26.3,535,535.1,17.29,17.29,,110,Ig lambda-1 chain V region S178,,,antigen binding|,2,6,8780000000,26.3%
E9PUU4,0.189992891,-0.08,14.6325416,1,0.034414847,2.877188396,-0.502,-0.858,,0.753,0.023,0.184,E9PUU4,Gemin5,E9PUU4_Gemin5,E9PUU4,Gemin5,1,10,3,3,E9PUU4|Q8BX17|A2AFQ9,MOUSE,169370,2.2,536,536.1,17.15,17.15,,1503,Gem-associated protein 5,nucleus|nucleoplasm|cytoplasm|cytosol|membrane|nuclear body|SMN complex|SMN-Sm protein complex|,spliceosomal snRNP assembly|,snRNA binding|poly(A) RNA binding|,3,10,5450000000,2.2%
A0A087WQT1,0.314778944,0.1975,9.699030038,-0.787333333,0.107175865,-2.063978674,,0.788,,-0.043,0.202,-0.157,A0A087WQT1,NotFound,A0A087WQT1_NotFound,A0A087WQT1,BC025446,1,1,1,1,A0A087WQT1|Q8R155,MOUSE,15147.2,18.6,537,537.1,17.03,17.03,,134,cDNA sequence BC025446,,,,1,1,14500000,18.6%
P09411,0.606920005,-0.200166667,4.018988496,0.395666667,0.396370341,0.913001176,0.07,0.067,-1.331,0.106,-0.091,-0.022,P09411,Pgk1,P09411_Pgk1,P09411,Pgk1,1,7,3,3,P09411|S4R2M7,MOUSE,44949.1,7.1,538,538.1,17.01,17.01,,417,Phosphoglycerate kinase 1,cytoplasm|,glycolytic process|phosphorylation|,phosphoglycerate kinase activity|ATP binding|,3,7,1290000000,7.1%
Q7TNB8,0.155174868,0.693666667,16.21480737,-2.085333333,0.02390668,-3.010093353,2.788,0.153,2.268,-0.482,-0.217,-0.348,Q7TNB8,Sbno2,Q7TNB8_Sbno2,Q7TNB8,Sbno2,1,3,3,3,Q7TNB8|Q7TNB8-2,MOUSE,150546.2,3.1,539,539.1,16.97,16.97,,1349,Protein strawberry notch homolog 2,,"macrophage activation involved in immune response|transcription, DNA-templated|bone mineralization|osteoclast differentiation|negative regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|regulation of inflammatory response|bone trabecula morphogenesis|multinuclear osteoclast differentiation|osteoclast fusion|",protein binding|,3,3,15300000000,3.1%
A0A075B5L3,0.013690476,0.619833333,34.55151921,-1.977,0.000350629,-7.201570522,1.44,1.936,1.449,-0.34,-0.654,-0.112,A0A075B5L3,NotFound,A0A075B5L3_NotFound,A0A075B5L3,Igkv4-90,1,2,1,1,A0A075B5L3,MOUSE,12723.1,13.6,540,540.1,16.85,16.85,,117,Immunoglobulin kappa chain variable 4-90 (Fragment),,,,1,2,4260000,13.6%
Q8BYY9,0.826430946,-0.346833333,1.658179841,0.527666667,0.682624727,0.429549228,0.981,0.752,-3.565,-0.024,-0.074,-0.151,Q8BYY9,Serpina3b,Q8BYY9_Serpina3b,Q8BYY9,Serpina3b,1,2,1,1,Q8BYY9,MOUSE,47642.2,2.6,541,541.1,16.85,16.85,,420,Serine protease inhibitor A3B,extracellular space|,negative regulation of endopeptidase activity|,serine-type endopeptidase inhibitor activity|,1,2,11600000,2.6%
P43274,0.021185729,0.777666667,30.89435816,-2.210666667,0.000813887,-6.186699807,1.887,1.4,2.362,0.101,-0.692,-0.392,P43274,Hist1h1e,P43274_Hist1h1e,P43274,Hist1h1e,1,2,2,2,P43274|P43277|P43275|P15864,MOUSE,21976.9,11.8,542,542.1,16.61,16.61,,219,Histone H1.4,nucleosome|nucleus|nuclear heterochromatin|extracellular exosome|nucleolus|,negative regulation of transcription from RNA polymerase II promoter|nucleosome assembly|nucleosome positioning|,DNA binding|protein binding|chromatin DNA binding|poly(A) RNA binding|,2,2,35000000,11.8%
Q9ER39,0.646971682,0.197,3.478616324,0.518333333,0.448888384,0.821812619,-0.96,0.732,,0.926,0.434,-0.147,Q9ER39,Tor1a,Q9ER39_Tor1a,Q9ER39,Tor1a,1,1,1,1,Q9ER39,MOUSE,38228.6,3.3,543,543.1,16.57,16.57,,333,Torsin-1A,nucleus|nuclear envelope|cytoplasm|endoplasmic reticulum|endoplasmic reticulum lumen|cytoskeleton|synaptic vesicle|membrane|cell junction|transport vesicle|secretory granule|growth cone|cytoplasmic vesicle membrane|nuclear membrane|extrinsic component of endoplasmic reticulum membrane|intracellular membrane-bounded organelle|extracellular exosome|,"protein deneddylation|response to oxidative stress|organelle organization|nuclear envelope organization|cell adhesion|neuron projection development|protein localization to nucleus|wound healing, spreading of cells|intermediate filament cytoskeleton organization|synaptic vesicle transport|chaperone mediated protein folding requiring cofactor|protein homooligomerization|regulation of dopamine uptake involved in synaptic transmission|chaperone-mediated protein folding|ER-associated misfolded protein catabolic process|nuclear membrane organization|chaperone-mediated protein transport|positive regulation of synaptic vesicle endocytosis|regulation of protein localization to cell surface|",protein binding|ATP binding|cytoskeletal protein binding|ATPase activity|kinesin binding|unfolded protein binding|misfolded protein binding|,1,1,5670000,3.3%
S4R1P5,0.680102626,0.4962,3.147045656,-0.363,0.484501844,-0.754426838,1.021,0.407,,0.982,-0.31,0.381,S4R1P5,Dst,S4R1P5_Dst,S4R1P5,Dst,1,5,3,3,S4R1P5|E9Q9X1|Q91ZU6-4|Q91ZU6-3|Q91ZU6|Q91ZU6-2|A0A087WSP0,MOUSE,876109,0.3,544,544.1,16.5,16.5,,7717,Dystonin,actin cytoskeleton|cytoplasmic membrane-bounded vesicle|hemidesmosome|neuronal postsynaptic density|,cytoskeleton organization|cell cycle arrest|axonogenesis|retrograde axon cargo transport|,actin binding|calcium ion binding|protein binding|,3,5,2000000000,0.3%
P12804,0.112924146,-0.4492,19.08078495,1.041333333,0.012357241,3.804545985,-1.222,-0.926,,-0.101,-0.118,0.121,P12804,Fgl2,P12804_Fgl2,P12804,Fgl2,1,2,1,1,P12804,MOUSE,49634.7,2.3,545,545.1,16.41,16.41,,432,Fibroleukin,extracellular exosome|,cytolysis|,,1,2,41700000,2.3%
Q8BGS1-3,0.432253305,-0.0596,6.7294239,0.384,0.212352613,1.427241048,-0.455,-0.125,,0.131,0.137,0.014,Q8BGS1,Epb41l5,Q8BGS1-3_Epb41l5,Q8BGS1-3,Epb41l5,1,8,2,2,Q8BGS1-3|Q8BGS1|Q8BGS1-2,MOUSE,83272.7,2.8,546,546.1,16.16,16.16,,731,Isoform 3 of Band 4.1-like protein 5,nucleus|cytoplasm|cytoskeleton|plasma membrane|focal adhesion|extrinsic component of membrane|cell leading edge|ruffle membrane|,"cell morphogenesis involved in differentiation|in utero embryonic development|somitogenesis|epithelial to mesenchymal transition|neural plate morphogenesis|positive regulation of cell-matrix adhesion|epithelial cell morphogenesis|apical constriction|substrate-dependent cell migration, cell attachment to substrate|ectoderm development|endoderm development|mesoderm development|mesoderm migration involved in gastrulation|unidimensional cell growth|posttranscriptional regulation of gene expression|positive regulation of epithelial cell migration|positive regulation of epithelial to mesenchymal transition|negative regulation of cell-cell adhesion|actin cytoskeleton organization|actomyosin structure organization|negative regulation of protein binding|positive regulation of protein binding|somite rostral/caudal axis specification|axial mesoderm development|axial mesoderm morphogenesis|paraxial mesoderm development|embryonic foregut morphogenesis|positive regulation of focal adhesion assembly|regulation of establishment of protein localization|left/right axis specification|cellular response to transforming growth factor beta stimulus|",protein binding|cytoskeletal protein binding|protein domain specific binding|,2,8,9070000000,2.8%
Q8K3F2,0.346454144,-0.175,8.560031099,0.7175,0.139314683,1.755833495,-0.091,-1.12,,0.377,-0.048,0.007,Q8K3F2,Mmp21,Q8K3F2_Mmp21,Q8K3F2,Mmp21,1,11,2,2,Q8K3F2,MOUSE,65738.1,3.8,547,547.1,16.07,16.07,,568,Matrix metalloproteinase-21,extracellular region|extracellular matrix|,hematopoietic progenitor cell differentiation|proteolysis|,metalloendopeptidase activity|calcium ion binding|metallopeptidase activity|zinc ion binding|,2,11,15300000000,3.8%
Q91WR8,0.408138607,-0.0542,7.200411138,0.393833333,0.190528034,1.511550758,-0.289,-0.292,,0.144,-0.048,0.214,Q91WR8,Gpx6,Q91WR8_Gpx6,Q91WR8,Gpx6,1,3,1,1,Q91WR8,MOUSE,25188.2,7.6,548,548.1,16.05,16.05,,221,Glutathione peroxidase 6,extracellular region|,response to oxidative stress|oxidation-reduction process|,glutathione peroxidase activity|,1,3,12600000,7.6%
P48356,0.205994858,-0.2204,13.69716781,0.726,0.04268578,2.694109007,-0.682,-0.63,,0.201,-0.134,0.143,P48356,Lepr,P48356_Lepr,P48356,Lepr,1,3,2,2,P48356|P48356-4|P48356-2|P48356-3|P48356-5,MOUSE,132954.3,1.2,549,549.1,15.88,15.88,,1162,Leptin receptor,extracellular region|plasma membrane|integral component of plasma membrane|receptor complex|,signal transduction|cholesterol metabolic process|cytokine-mediated signaling pathway|regulation of metabolic process|negative regulation of gluconeogenesis|negative regulation of hydrolase activity|,transmembrane signaling receptor activity|cytokine receptor activity|protein binding|identical protein binding|,2,3,578000000,1.2%
Q05020,0.159993909,-0.137,16.02784915,0.906666667,0.024958305,3.153757851,-0.58,-0.782,,0.201,0.467,0.009,Q05020,Apoc2,Q05020_Apoc2,Q05020,Apoc2,1,4,2,2,Q05020,MOUSE,10741.1,14.4,550,550.1,15.65,15.65,,97,Apolipoprotein C-II,extracellular region|extracellular space|cytosol|very-low-density lipoprotein particle|low-density lipoprotein particle|intermediate-density lipoprotein particle|spherical high-density lipoprotein particle|chylomicron|extracellular exosome|,positive regulation of phospholipase activity|positive regulation of triglyceride catabolic process|negative regulation of very-low-density lipoprotein particle clearance|lipid catabolic process|negative regulation of cholesterol transport|cholesterol efflux|phospholipid efflux|chylomicron remnant clearance|high-density lipoprotein particle clearance|response to drug|lipoprotein transport|negative regulation of catalytic activity|positive regulation of fatty acid biosynthetic process|negative regulation of lipid metabolic process|negative regulation of receptor-mediated endocytosis|positive regulation of lipoprotein lipase activity|positive regulation of phospholipid catabolic process|triglyceride homeostasis|,lipid binding|phospholipase activator activity|protein homodimerization activity|phospholipase binding|lipase inhibitor activity|lipoprotein lipase activator activity|,2,4,282000000,14.4%
F1MB32,0.891021159,0.150333333,1.063736783,-0.226,0.782755849,-0.288476716,-0.945,-0.314,2.049,-0.145,-0.089,0.346,F1MB32,NotFound,F1MB32_NotFound,F1MB32,A2ML1,1,4,2,2,F1MB32,BOVIN,157039.4,1.8,551,551.1,15.52,15.52,,1396,Uncharacterized protein,,,,2,4,1050000000,1.8%
P68433,0.014726443,0.807166667,34.01338731,-2.501,0.000396882,-7.071284329,2.587,1.817,1.769,0.013,-0.786,-0.557,P68433,Hist1h3g,P68433_Hist1h3g,P68433,Hist1h3a,1,3,2,2,A0A1W2P768|P68433|P84228|P84244|P02301|F8WI35,MOUSE,15517.9,10.2,552,552.1,15.4,15.4,,136,Histone H3.1,nuclear nucleosome|nucleoplasm|membrane|extracellular exosome|,chromatin silencing at rDNA|DNA replication-dependent nucleosome assembly|protein heterotetramerization|regulation of gene silencing|,DNA binding|protein binding|histone binding|protein heterodimerization activity|,2,3,118000000,10.2%
Q61627,0.112924146,-0.3862,19.10390452,1.194666667,0.012291632,3.809720227,-1.366,-0.84,,0.094,-0.113,0.294,Q61627,Grid1,Q61627_Grid1,Q61627,Grid1,1,4,2,2,Q61627,MOUSE,113178,2.7,553,553.1,15.39,15.39,,1009,"Glutamate receptor ionotropic, delta-1",plasma membrane|ionotropic glutamate receptor complex|cell junction|dendrite|postsynaptic membrane|extracellular exosome|,"ion transmembrane transport|social behavior|ionotropic glutamate receptor signaling pathway|synaptic transmission, glutamatergic|",ionotropic glutamate receptor activity|extracellular-glutamate-gated ion channel activity|,2,4,2010000000,2.7%
Q6ZPY7,0.946089108,0.3385,0.60626576,-0.147,0.869707918,-0.171233798,-1.007,-0.085,2.328,0.4,-0.169,0.564,Q6ZPY7,NotFound,Q6ZPY7_NotFound,Q6ZPY7,Kdm3b,1,21,2,2,B9EKS2|Q6ZPY7,MOUSE,172583.6,1.2,554,554.1,15.33,15.33,,1562,Lysine-specific demethylase 3B,nucleus|,"transcription, DNA-templated|regulation of transcription, DNA-templated|chromatin modification|oxidation-reduction process|",metal ion binding|dioxygenase activity|,2,21,18300000000,1.2%
P49452,0.311388971,-0.04,9.807281266,0.545,0.104537443,1.976435061,-0.198,-0.536,,0.242,0.253,0.039,P49452,Cenpc1,P49452_Cenpc1,P49452,Cenpc,1,2,2,2,P49452,MOUSE,102722.5,2.4,555,555.1,15.3,15.3,,906,Centromere protein C,"kinetochore|condensed chromosome kinetochore|condensed nuclear chromosome, centromeric region|nucleus|nucleoplasm|pericentric heterochromatin|cytoplasm|",mitotic cell cycle|chromosome segregation|mitotic nuclear division|cell division|kinetochore assembly|,protein binding|centromeric DNA binding|,2,2,2730000000,2.4%
D3YTR0,0.789399258,-0.0694,2.0618152,0.135166667,0.62204024,0.524669263,-0.252,-0.049,,-0.063,0.051,-0.034,D3YTR0,NotFound,D3YTR0_NotFound,D3YTR0,Apc2,1,4,3,3,D3YTR0|Q9Z1K7|G5E832,MOUSE,248334.3,1.1,556,556.1,15.27,15.27,,2303,Adenomatous polyposis coli protein 2,cytoplasm|Golgi apparatus|actin filament|microtubule cytoskeleton|catenin complex|lamellipodium membrane|perinuclear region of cytoplasm|cytoplasmic microtubule|,Wnt signaling pathway|negative regulation of catenin import into nucleus|negative regulation of canonical Wnt signaling pathway|,beta-catenin binding|microtubule binding|,3,4,712000000,1.1%
Q69ZS0,0.337209389,0.0468,8.838744951,0.663,0.130654841,1.805002595,-0.772,0.07,,0.085,0.35,0.501,Q69ZS0,Pdzrn3,Q69ZS0_Pdzrn3,Q69ZS0,Pdzrn3,1,6,2,2,Q69ZS0|Q69ZS0-3|Q69ZS0-2,MOUSE,120996.6,1.6,557,557.1,15.12,15.12,,1063,E3 ubiquitin-protein ligase PDZRN3,neuromuscular junction|,neuromuscular junction development|protein ubiquitination|,ubiquitin-protein transferase activity|protein binding|zinc ion binding|ligase activity|ubiquitin protein ligase activity|,2,6,2240000000,1.6%
P06869,0.714779565,0.0084,2.73641062,-0.200166667,0.532548221,-0.669567935,-0.159,0.416,,-0.058,-0.104,-0.053,P06869,Plau,P06869_Plau,P06869,Plau,1,2,2,2,P06869,MOUSE,49693.4,5.3,558,558.1,15.11,15.11,,433,Urokinase-type plasminogen activator,extracellular space|focal adhesion|cell surface|membrane|extracellular exosome|,angiogenesis|response to hypoxia|spermatogenesis|embryo implantation|positive regulation of cell proliferation|regulation of receptor activity|response to activity|smooth muscle cell migration|regulation of smooth muscle cell migration|positive regulation of smooth muscle cell migration|plasminogen activation|regulation of cell adhesion mediated by integrin|cellular response to hepatocyte growth factor stimulus|regulation of cell proliferation|fibrinolysis|skeletal muscle tissue regeneration|response to hyperoxia|positive regulation of ovulation|neuron death|cellular response to lipopolysaccharide|cellular response to glucose stimulus|cellular response to hypoxia|cellular response to fluid shear stress|cellular response to staurosporine|regulation of smooth muscle cell-matrix adhesion|regulation of hepatocyte proliferation|positive regulation of reactive oxygen species metabolic process|,serine-type endopeptidase activity|,2,2,90200000,5.3%
Q91VS8,0.007983705,0.9,44.21203488,-2.908666667,3.79137E-05,-10.67527632,2.734,2.001,2.328,-0.427,-0.668,-0.568,Q91VS8,Farp2,Q91VS8_Farp2,Q91VS8,Farp2,1,3,2,2,Q91VS8,MOUSE,122248.2,1.6,559,559.1,15.11,15.11,,1065,"FERM, ARHGEF and pleckstrin domain-containing protein 2",cytoplasm|cytosol|cytoskeleton|extrinsic component of membrane|,cell adhesion|neuron remodeling|Rac protein signal transduction|osteoclast differentiation|actin cytoskeleton reorganization|regulation of integrin activation|regulation of Rho protein signal transduction|positive regulation of GTPase activity|semaphorin-plexin signaling pathway|podosome assembly|,Rho guanyl-nucleotide exchange factor activity|cytoskeletal protein binding|Rac guanyl-nucleotide exchange factor activity|,2,3,370000000,1.6%
P08228,0.08962435,0.368666667,20.89472544,-1.841333333,0.008138183,-3.880785836,0.667,2.272,0.929,-0.522,-0.865,-0.269,P08228,Sod1,P08228_Sod1,P08228,Sod1,1,3,3,3,P08228,MOUSE,16113.6,22.7,560,560.1,15.09,15.09,,154,Superoxide dismutase [Cu-Zn],extracellular space|nucleus|nucleoplasm|cytoplasm|mitochondrion|mitochondrial intermembrane space|lysosome|peroxisome|cytosol|extracellular matrix|dense core granule|cytoplasmic vesicle|dendrite cytoplasm|neuronal cell body|myelin sheath|protein complex|extracellular exosome|plasma membrane|,activation of MAPK activity|response to reactive oxygen species|response to superoxide|ovarian follicle development|positive regulation of cytokine production|retina homeostasis|response to amphetamine|myeloid cell homeostasis|glutathione metabolic process|superoxide metabolic process|cellular iron ion homeostasis|response to oxidative stress|spermatogenesis|embryo implantation|aging|cell aging|sensory perception of sound|locomotory behavior|anterograde axon cargo transport|retrograde axon cargo transport|regulation of blood pressure|response to heat|response to organic substance|transmission of nerve impulse|removal of superoxide radicals|response to nutrient levels|peripheral nervous system myelin maintenance|positive regulation of superoxide anion generation|response to carbon monoxide|cellular response to potassium ion|regulation of multicellular organism growth|response to drug|response to hydrogen peroxide|superoxide anion generation|negative regulation of apoptotic process|positive regulation of catalytic activity|regulation of GTPase activity|negative regulation of neuron apoptotic process|response to ethanol|negative regulation of cholesterol biosynthetic process|regulation of protein kinase activity|response to antibiotic|response to copper ion|muscle cell cellular homeostasis|response to axon injury|hydrogen peroxide biosynthetic process|regulation of mitochondrial membrane potential|oxidation-reduction process|heart contraction|neurofilament cytoskeleton organization|relaxation of vascular smooth muscle|auditory receptor cell stereocilium organization|cellular response to cadmium ion|cellular response to ATP|reactive oxygen species metabolic process|response to antipsychotic drug|positive regulation of oxidative stress-induced intrinsic apoptotic signaling pathway|,superoxide dismutase activity|copper ion binding|protein binding|zinc ion binding|protein phosphatase 2B binding|identical protein binding|Rac GTPase binding|chaperone binding|,3,3,197000000,22.7%
P10639,0.433615197,0.130833333,6.684997391,-1.218333333,0.21453604,-1.388980717,1.071,2.318,-1.169,-0.292,-0.904,-0.239,P10639,Txn1,P10639_Txn1,P10639,Txn,1,3,2,2,P10639,MOUSE,12017.6,19,561,561.1,15.06,15.06,,105,Thioredoxin,nucleus|cytoplasm|mitochondrion|cytosol|extracellular exosome|,"sulfate assimilation|negative regulation of transcription from RNA polymerase II promoter|transcription, DNA-templated|protein folding|glycerol ether metabolic process|response to radiation|positive regulation of peptidyl-serine phosphorylation|regulation of protein import into nucleus, translocation|cellular response to oxidative stress|positive regulation of DNA binding|cell redox homeostasis|negative regulation of protein export from nucleus|oxidation-reduction process|negative regulation of hydrogen peroxide-induced cell death|","protein binding|protein disulfide oxidoreductase activity|peptide disulfide oxidoreductase activity|oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor|poly(A) RNA binding|",2,3,15200000,19.0%
A0A075B5K3,0.529307414,-0.1688,5.209763276,0.430333333,0.301317026,1.151895794,-0.854,0,,-0.261,0.166,0.105,A0A075B5K3,NotFound,A0A075B5K3_NotFound,A0A075B5K3,Igkv17-121,1,4,1,1,A0A075B5K3|A0A075B5J9,MOUSE,12863.4,13.7,562,562.1,15.02,15.02,,116,Immunoglobulin kappa variable 17-121,,,,1,4,274000000,13.7%
A2AFG3,0.090035954,-0.225,20.81950102,1.300833333,0.008280373,4.205280331,-1.174,-0.837,,0.04,0.582,0.264,A2AFG3,Pdzd4,A2AFG3_Pdzd4,A2AFG3,Pdzd4,1,6,2,2,A2AFG3,MOUSE,74414.1,2.4,563,563.1,15.01,15.01,,657,PDZ domain-containing protein 4,,protein ubiquitination|,ubiquitin protein ligase activity|,2,6,2320000000,2.4%
Q3UGX2,0.049087232,0.820166667,24.94836591,-3.411666667,0.003200099,-4.755897427,1.716,1.702,4.16,-0.879,-1.232,-0.546,Q3UGX2,Sptb,Q3UGX2_Sptb,Q3UGX2,Sptb,1,2,2,2,Q3UGX2|E9Q397|P15508,MOUSE,268999.3,0.9,564,564.1,14.95,14.95,,2329,Spectrin beta chain,cytoplasm|plasma membrane|spectrin|cell surface|spectrin-associated cytoskeleton|membrane|cortical cytoskeleton|protein complex|,porphyrin-containing compound biosynthetic process|plasma membrane organization|hemopoiesis|,actin binding|structural constituent of cytoskeleton|phospholipid binding|ankyrin binding|protein heterodimerization activity|actin filament binding|,2,2,23100000,0.9%
